;Timestamp [s],Timediff[탎],Trigger Type,Event Type,Data,Data,Data,Data
0.000000,+1332170382000000탎,,Realtime (83),Mon Mar 19 15:19:42 2012
0.000000,+0탎,Single,Session Start (4484),ID:c0015b89
0.000000,+0탎,On/Off,BUS INFO (4c2),ch:1,Baudrate:1443, Silent:1, Protocol:0, Pre-Trigger:0, Post-Trigger:0, Fw:6081f201
0.000000,+0탎,On/Off,BUS INFO (84c2),ch:2,Baudrate:1443, Silent:0, Protocol:0, Pre-Trigger:0, Post-Trigger:0, Fw:6081f201
143.837650,+452탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,311,data:,bd,90,59,3b,bc,98,f5,09,
143.838106,+456탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,312,data:,bf,17,0a,3d,be,fa,e1,48,
143.838562,+456탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,313,data:,bf,2e,14,7b,3f,82,55,b6,
143.839114,+552탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00400,data:,f0,7d,89,89,12,00,ff,89,
143.839687,+573탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,14ff2321,data:,04,5c,ff,ff,ff,ff,ff,ff,
143.840267,+580탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18febf0b,data:,00,00,7d,7d,7d,7d,ff,ff,
143.840847,+580탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18ff1b19,data:,ff,fd,ff,ff,ff,ff,ff,ff,
143.841131,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18ffac01
143.841415,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18ffab01
143.841703,+288탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18ffaa01
143.842287,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,14fda421,data:,ff,ff,ff,ff,ff,ff,ff,ff,
143.842843,+556탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,301,data:,09,6f,a7,41,0a,b8,0c,98,
143.843403,+560탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,302,data:,1d,35,19,85,00,01,1c,77,
143.843979,+576탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,303,data:,00,00,00,00,01,63,8c,01,
143.844575,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,304,data:,00,00,00,00,00,00,00,00,
143.845159,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,305,data:,00,00,49,c7,00,00,00,00,
143.845755,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,306,data:,00,0f,00,00,00,00,00,00,
143.846235,+480탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,308,data:,00,04,2f,e4,eb,68,00,00,
143.846715,+480탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,309,data:,ff,f4,97,42,07,fb,00,00,
143.847175,+460탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,310,data:,39,b2,7f,2b,b5,b2,d4,be,
143.847627,+452탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,311,data:,bd,5e,95,00,bb,f0,d7,2f,
143.848083,+456탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,312,data:,bf,4a,3d,71,bf,3a,e1,48,
143.848547,+464탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,313,data:,3f,57,0a,3d,3f,80,a6,ec,
143.849100,+553탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00400,data:,f0,7d,89,86,12,00,ff,89,
143.849684,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,14ff0121,data:,ff,ff,ff,ff,ff,ff,fc,ff,
143.850268,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18fef000,data:,ff,ff,ff,00,00,f0,00,ff,
143.850844,+576탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18fef117,data:,f7,ff,ff,ff,ff,ff,ff,ff,
143.851124,+280탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,1cfe9201
143.851400,+276탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18f00f3d
143.851676,+276탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fdb23d
143.852261,+585탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,14fef031,data:,ff,ff,ff,ff,ff,fc,00,ff,
143.852549,+288탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fdb400
143.852825,+276탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fd8c3d
143.853381,+556탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,301,data:,09,6f,a7,42,0a,b8,0c,98,
143.853941,+560탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,302,data:,1d,35,19,85,00,07,06,e0,
143.854521,+580탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,303,data:,00,00,00,00,00,63,8c,01,
143.855117,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,304,data:,00,00,00,00,00,00,00,00,
143.855701,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,305,data:,00,00,49,c7,00,00,00,00,
143.856289,+588탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,306,data:,00,11,00,00,00,00,00,00,
143.856769,+480탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,308,data:,00,04,2f,e4,eb,73,00,00,
143.857241,+472탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,309,data:,ff,f4,97,42,07,fd,00,00,
143.857717,+476탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,310,data:,39,a8,01,fb,39,0a,ea,0f,
